Wall time,Step,Value
1639846931.884542,324,-51.292999267578125
1639846953.6146228,325,-56.87574768066406
1639846976.008857,326,-45.118751525878906
1639846998.3161,327,-46.2130012512207
1639847020.644217,328,-44.22699737548828
1639847042.7207303,329,-50.42974853515625
1639847064.70752,330,-61.90550231933594
1639847086.8257194,331,-37.91324996948242
1639847109.6316254,332,-21.656200408935547
1639847131.8113892,333,-23.921199798583984
1639847154.4604697,334,-36.208499908447266
1639847176.487015,335,-48.477752685546875
1639847200.3760834,336,-32.077999114990234
1639847222.8465765,337,-2.376666784286499
1639847245.7378268,338,-36.431400299072266
1639847266.8653486,339,-57.30999755859375
1639847288.9045815,340,-64.88400268554688
1639847310.7234733,341,-53.61075210571289
1639847333.0673623,342,-55.165748596191406
1639847355.7042909,343,-45.64149856567383
1639847378.0836601,344,-52.01774597167969
1639847399.7683804,345,-59.47249984741211
1639847422.6208198,346,-53.42124938964844
1639847444.3554666,347,-51.015750885009766
1639847467.963002,348,-33.528602600097656
1639847493.3667667,349,-45.75225067138672
1639847516.4080179,350,-68.67024993896484
1639847541.7437768,351,-59.42949676513672
1639847565.6249619,352,-51.70975112915039
1639847588.426357,353,-51.53699493408203
1639847608.0484836,354,-44.25600051879883
1639847626.7644439,355,-44.020999908447266
1639847645.2505963,356,-54.42475128173828
1639847663.7809362,357,-65.13800048828125
1639847682.1956465,358,-53.28324890136719
1639847701.9086072,359,-61.95949935913086
1639847719.888577,360,-53.243751525878906
1639847738.6413867,361,-54.699501037597656
1639847763.0231853,362,-27.22760009765625
1639847786.8192728,363,-42.06319808959961
1639847811.6633222,364,-42.655250549316406
1639847837.6279821,365,-56.52649688720703
1639847865.6430058,366,-42.26020050048828
1639847890.0213292,367,-70.19850158691406
1639847914.9171994,368,-38.805999755859375
1639847939.621401,369,-26.554401397705078
1639847962.075577,370,-29.267499923706055
1639847983.5033836,371,-56.916500091552734
1639848005.4939609,372,-54.5577507019043
1639848027.1597455,373,-43.504249572753906
1639848049.2889729,374,-44.0157470703125
1639848070.9223354,375,-59.6254997253418
1639848092.6253548,376,-70.37825012207031
1639848115.1919065,377,-39.86119842529297
1639848137.8343024,378,-27.47974967956543
1639848159.3237426,379,-62.305747985839844
1639848182.164966,380,-15.700665473937988
1639848203.8079016,381,-36.219749450683594
1639848225.26833,382,-35.84524917602539
1639848250.0384116,383,-19.1334285736084
1639848272.7321067,384,-25.592599868774414
1639848295.1515868,385,-44.227752685546875
1639848318.6756897,386,-28.60957145690918
1639848340.2818837,387,-60.072750091552734
1639848361.6919749,388,-63.986000061035156
1639848383.6086996,389,-72.42974853515625
1639848405.4232616,390,-56.91899871826172
1639848427.5937853,391,-60.98400115966797
1639848449.4454951,392,-67.42599487304688
1639848470.9935067,393,-55.439002990722656
1639848493.2210152,394,-57.58625030517578
1639848515.3349981,395,-44.926002502441406
1639848537.7620294,396,-57.344749450683594
1639848559.9467752,397,-44.003997802734375
1639848581.5469885,398,-67.71324920654297
1639848604.8516092,399,-34.59983444213867
1639848626.8127565,400,-64.99574279785156
1639848648.2350755,401,-65.1084976196289
1639848670.0397737,402,-62.068748474121094
1639848691.607922,403,-73.34100341796875
1639848713.4969137,404,-59.253997802734375
1639848735.1089654,405,-55.06275177001953
1639848757.2431371,406,-56.71324920654297
1639848778.8183873,407,-57.653751373291016
1639848800.991669,408,-30.69499969482422
1639848824.0037832,409,-31.558801651000977
1639848847.191137,410,-59.29750061035156
1639848869.5902352,411,-49.092247009277344
1639848890.6576226,412,-67.96174621582031
1639848912.3526602,413,-53.541500091552734
1639848933.7061532,414,-52.55424880981445
1639848956.1174421,415,-53.044246673583984
1639848978.5000231,416,-43.02750015258789
1639849000.6055555,417,-63.65449905395508
1639849021.6458988,418,-71.93250274658203
1639849043.6174006,419,-30.8539981842041
1639849066.2918353,420,-36.77925109863281
1639849088.3158638,421,-51.947750091552734
1639849109.7499437,422,-52.30525207519531
1639849131.513397,423,-48.704498291015625
1639849153.5658743,424,-35.84449768066406
1639849175.9231682,425,-32.333499908447266
1639849197.6455777,426,-49.63999938964844
1639849219.7924387,427,-65.45124816894531
1639849241.6482463,428,-67.44950103759766
1639849262.962964,429,-58.270751953125
1639849284.4817727,430,-56.104000091552734
1639849305.9158297,431,-59.72724914550781
1639849329.1885338,432,-45.159751892089844
1639849351.174121,433,-44.40699768066406
1639849373.673165,434,-38.934749603271484
1639849395.8064673,435,-37.59659957885742
1639849417.422777,436,-61.16374969482422
1639849438.8529012,437,-43.03399658203125
1639849460.7224317,438,-59.63500213623047
1639849482.2305763,439,-78.99124908447266
1639849503.9068651,440,-64.1102523803711
1639849526.103912,441,-28.79974937438965
1639849548.5319288,442,-55.12774658203125
1639849570.2730742,443,-46.62174987792969
1639849592.344343,444,-37.28099822998047
1639849614.0163038,445,-59.75550079345703
1639849635.5756142,446,-60.42375183105469
1639849657.8686056,447,-52.170753479003906
1639849679.45579,448,-64.9530029296875
1639849701.7980127,449,-46.78499984741211
1639849723.8255868,450,-57.89550018310547
1639849745.4276602,451,-72.71624755859375
1639849767.055881,452,-75.28275299072266
1639849788.5727186,453,-64.50924682617188
1639849809.776866,454,-56.437747955322266
1639849831.7324855,455,-29.537750244140625
1639849854.0530024,456,-25.62900161743164
1639849876.4273822,457,-36.215999603271484
1639849898.546745,458,-51.52275085449219
1639849921.473693,459,-36.60559844970703
1639849943.8793366,460,-45.33399963378906
1639849965.0938783,461,-60.242000579833984
1639849987.0393178,462,-47.6510009765625
1639850008.880208,463,-48.99024963378906
1639850030.8116002,464,-50.722503662109375
1639850052.0238154,465,-44.09775161743164
1639850073.8968422,466,-50.06825256347656
1639850095.8590653,467,-64.23699951171875
1639850118.3194723,468,-24.25775146484375
1639850140.216994,469,-36.90739822387695
1639850163.6383004,470,-41.19725036621094
1639850185.3515913,471,-40.84724807739258
1639850207.9935234,472,-33.975250244140625
1639850229.7926402,473,-48.20650100708008
1639850252.144662,474,-37.41324996948242
1639850275.5439355,475,-26.050750732421875
1639850297.702087,476,-56.70249938964844
1639850319.1513438,477,-68.61650085449219
1639850340.7736094,478,-40.23699951171875
1639850362.8459756,479,-64.49925231933594
